"id","external_link","external_link_text"
"4,386","https://docs.google.com/a/boston.gov/document/d/1ppay0m_zpLSXJa2R6D4zO-jI3ocRfQZasPMPcPY_SGI/edit?usp=sharing","Email signature"
"4,391","https://drive.google.com/a/boston.gov/folderview?id=0B0RwQU94BhGeRHNpSzN1djlaQ1U&usp=sharing","Branded phone and desktop backgrounds"
"4,396","https://docs.google.com/a/boston.gov/document/d/1gAxX2CDXzg2KYlLRn4eHRjmnHkXN_7bXjH-8CqmZBZ0/edit?usp=sharing","Memo template"
"4,411","https://drive.google.com/open?id=0B0RwQU94BhGeclNFNVBhaGhYbXM","See the icons"
"4,416","https://drive.google.com/open?id=0B0RwQU94BhGeQ3FQTXRxNVp3b2s","See the icons"
"4,421","https://drive.google.com/open?id=0B0RwQU94BhGeZ2JUanQ3ZVdZcE0","See the icons"
"4,741","https://www.invoicecloud.com/portal/%28S%28llvqaonxiv0ktgpzaxf4gmde%29%29/Site.aspx?G=13377843-58b1-429b-be78-ab0ebba80835","Pay your real estate taxes"
"4,746","https://www.boston.gov/departments/environment/no-cost-energy-visits-renew-boston","Get a home energy assessment"
"4,751","http://www.cityofboston.gov/isd/housing/rental.asp","Register your rental unit"
"4,756","https://www.boston.gov/departments/neighborhood-development/how-apply-home-repair-loan","Get help with emergency home repairs"
"4,816","https://www.boston.gov/departments/neighborhood-development/how-apply-home-repair-loan","Homeworks Help"
"4,821","https://www.boston.gov/departments/neighborhood-development/get-financial-help-remove-lead-your-home","Lead Safe Boston"
"4,826","https://www.boston.gov/departments/neighborhood-development/get-home-repair-loan-your-triple-decker","3D Help"
"5,071","http://www.nfpa.org/","National Fire Prevention Association"
"5,086","http://www.nfpa.org/","National Fire Prevention Association"
"5,091","http://www.usfa.fema.gov/","United States Fire Administration"
"5,096","http://www.csia.org/","Chimney Safety Institute of America"
"5,101","http://www.burnprevention.org/","Burn Prevention Foundation"
"5,256","http://universitysleep.com/style-b/","Full-scale mattress fire testing guide"
"5,496","http://www.usfa.fema.gov/","United States Fire Administration"
"5,506","http://www.csia.org/","Chimney Safety Institute of America"
"5,516","http://www.burnfoundation.org/programs/resource.cfm?c=1","Burn Prevention Foundation"
"5,541","http://www.sparky.org/","Sparky the Fire Dog"
"5,546","http://www.smokeybear.com/","Smokey the Bear"
"5,551","http://www.nfpa.org/","National Fire Prevention Association"
"5,556","https://www.usfa.fema.gov/prevention/outreach/children.html","United States Fire Administration"
"5,561","http://www.sosfires.com/","SOS Fires: Youth Intervention"
"5,641","https://onlinepermitsandlicenses.cityofboston.gov/BFD/Views/Login.aspx?PID=fxvvKp6NAs54YEy8wyk0fQl/s8VpOGzMcVWwo1zepbfYrreW9tAiQrQCI1jeavG0","Tent or temporary structure (online application)"
"5,891","http://www.amlegal.com/boston_ma/","City of Boston ordinances"
"5,896","http://www.mass.gov/eopss/agencies/dfs/osfm/fire-safety-division.html","Mass.gov fire safety site"
"5,901","https://data.boston.gov/dataset/approved-building-permits","Search for permits issued after 1/11/2010"
"5,936","http://universitysleep.com/style-b/","Full-scale tests for dorm mattresses"
"6,001","https://onlinepermitsandlicenses.cityofboston.gov/bfd/","Apply for a construction alteration demolition permit"
"6,006","https://onlinepermitsandlicenses.cityofboston.gov/BFD/","Apply for a Fire Alarm permit"
"6,016","https://onlinepermitsandlicenses.cityofboston.gov/BFD/","Apply for a sprinkler or fire extinguishing permit"
"6,076","https://onlinepermitsandlicenses.cityofboston.gov/BFD/","Apply to build a tent or temporary structure"
"6,201","https://onlinepermitsandlicenses.cityofboston.gov/BFD/","Apply for a Place of Assembly permit"
"6,236","https://onlinepermitsandlicenses.cityofboston.gov/BFD/","Apply to build a tent or temporary structure"
"6,296","http://www.cityofboston.gov/fire/inspections/sdiform/","Request an inspection"
"6,426","http://www.cityofboston.gov/fire/inspections/sdiform/firerequest.aspx","Request a paid fire detail"
"6,431","http://www.cityofboston.gov/fire/inspections/sdiform/","Smoke and carbon monoxide detector inspections"
"6,436","https://pilot.boston.gov/sites/default/files/2016-registered-cleaners-inspectors.pdf","2016 registered exhaust vent cleaners and inspectors"
"7,011","http://www.cityofboston.gov/fire/inspections/sdiform/firerequest.aspx","Request a paid Fire detail"
"7,016","https://www.cityofboston.gov/fire/prevention/","Request a fire report, 21E search, or record search"
"7,021","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#other-construction-related-apps","Construction related"
"7,026","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#nav-1257168839","Events"
"7,031","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#tanks","Tanks"
"7,036","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#vehicles","Vehicles"
"7,041","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#hazardous-material","Hazardous materials"
"7,196","http://www.ikeca.org/","International Kitchen Exhaust Cleaning Association"
"7,201","http://www.philackland.com/","Phil Ackland and associates"
"7,231","http://www.cityofboston.gov/fire/forms/hoodinspectioncancellation.aspx","Notify Boston Fire when your contact to clean an exhaust vent is canceled"
"7,301","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#nav-1588772735","Summer camp inspections"
"7,321","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#special-hazards","Special Hazards"
"7,326","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#events","Special events"
"7,331","https://www.boston.gov/departments/fire-prevention/fire-forms-permits-applications-and-fees#labs","Laboratories"
"7,851","https://www.boston.gov/sites/default/files/fcalcfor-retirees-employed-protected-form-1.xls","FCalcfor Retirees Employed: Protected Form 1"
"7,871","https://edit.boston.gov/departments/auditing/basic-financial-statements#audits","Single audits"
"7,886","http://www.cityofboston.gov/auditing/grantmanagement/","Grant/Special Revenue Management"
"7,896","http://www.cityofboston.gov/boardsandcommissions/default.aspx?boardid=37","Audit Committee of the City of Boston"
"7,901","http://www.cityofboston.gov/news/default.aspx?id=1878","Read the Press Release"
"7,906","http://www.cityofboston.gov/women/history/MB_speech.asp","Read the Artist's Speech"
"7,911","https://www.youtube.com/watch?v=12t429KHAL8&feature=youtu.be","Watch ""A Story in Images"""
"7,931","http://www.abigailadamsbirthplace.com/","Abigail Adams Historical Society"
"7,936","https://www.nps.gov/adam/index.htm","Adams National Historical Park"
"7,941","http://www.cityofboston.gov/library","Boston Public Library"
"7,946","http://bwht.org/","Boston Women's Heritage Trail"
"7,951","http://www.thetrustees.org/what-we-care-about/history-culture/a-rolling-stone.html","Lucy Stone Home Site"
"7,956","http://www.masshist.org/","Massachusetts Historical Society"
"7,961","http://www.afroammuseum.org/","Museum of Afro-American History"
"7,981","http://www.edge-cert.org/","Edge Certified"
"7,986","http://www.genderprinciples.org/","Gender Equity Principles"
"7,991","https://implicit.harvard.edu/implicit/","Harvard Implicit Bias Test"
"7,996","http://wappp.hks.harvard.edu/","Harvard Kennedy School Women and Public Policy Program"
"8,001","http://www.pdtglobal.com/","People Development Team"
"8,011","https://www.dol.gov/whd/regs/compliance/hrg.htm","United States Department of Labor"
"8,016","https://www.mn.gov/mmb/","State of Minnesota"
"8,021","http://www.generalservices.state.nm.us/statepurchasing/Pay_Equity.aspx","State of New Mexico"
"8,351","http://Boston.gov","Boston.gov"
"8,356","http://google.com","google"
"8,361","http://boston.gov","Boston.gov"
"8,376","http://google.com","google.com"
"8,821","http://documents.boston.gov/images_documents/City%20Trusts%20-%20Purpose_tcm3-53149.pdf","Treasury Trust Funds Held By the City of Boston"
"8,826","http://documents.boston.gov/images_documents/Browne%20Fund%20Application.pdf","Edward Ingersoll Browne Fund Application"
"8,831","http://documents.boston.gov/images_documents/Browne%20Fund%20Application%20Checklist%20for%20Design%20and%20Construction%20(2)_tcm3-40352.pdf","Edward Ingersoll Browne Fund Application Checklist (Design and Construction)"
"8,836","http://documents.boston.gov/images_documents/Pool%205%20Final%20Audit%20(Financial%20Statements)_tcm3-47058.pdf","White Fund Financials"
"8,856","https://www.invoicecloud.com/portal/(S(mw4e4ogxna5mgcxbkkpjpvhd))/Site.aspx?G=13377843-58b1-429b-be78-ab0ebba80835","Make an online payment"
"8,986","http://documents.boston.gov/images_documents/INACTIVE%20-%20Moved%20within%20Boston_tcm3-17069.pdf","Moved within the City"
"8,991","http://documents.boston.gov/images_documents/INACTIVE%20-%20Same%20Address_tcm3-17068.pdf","Inactive voter with the same address"
"10,396","http://www.sec.state.ma.us/ele/elepdf/Election-Calendar-2015-2016-2-54-revised.pdf","2016 Election Calendar"
"10,401","http://www.sec.state.ma.us/ele/eleidx.htm","Secretary Of State Election Division"
"10,406","http://www.cityofboston.gov/boardsandcommissions/default.aspx?boardid=52","Elections Commission"
"11,346","http://www.nesare.org/Grants/Get-a-Grant/Farmer-Grant","SARE Farmer Grant"
"11,351","https://www.ams.usda.gov/services/grants/scbgp","USDA Specialty Crop Black Grant Program"
"11,356","http://www.nrcs.usda.gov/wps/portal/nrcs/main/national/programs/financial/cig/","Natural Resources Conservation Services and Conservation Innovation Grants"
"11,361","http://www.mass.gov/eea/agencies/agr/about/divisions/mega.html","Matching Enterprise Grants for Agriculture Program"
"11,366","http://www.mass.gov/eea/agencies/agr/about/divisions/aip.html","APR Improvement Program"
"11,371","http://www.mass.gov/eea/agencies/agr/about/divisions/farm-energy-discount-program.html","Farm Energy Discount Program"
"11,376","",""
"11,381","http://www.nesare.org/Grants/Get-a-Grant/Farmer-Grant","SARE Farmer Grant"
"12,001","http://www.sec.state.ma.us/pre/prereq/reqidx.htm","Making a request for public records in Mass."
"12,006","http://www.ocpf.us/","Campaign finance reports"
"12,011","http://www.cityofboston.gov/cityclerk/dbasearch/","Search the Business Certificate Database"
"12,026","http://www.cityofboston.gov/boardsandcommissions/Default.aspx","Boards and commissions"
"12,031","http://documents.boston.gov/images_documents/Boston%20City%20Charter_tcm3-18855.pdf","Boston City Charter"
"12,036","http://documents.boston.gov/images_documents/FREQUENTLY%20ASKED%20QUESTIONS%20september%20update_tcm3-26777.pdf","Frequently asked questions"
"12,041","http://documents.boston.gov/images_documents/OPEN%20MEETING%20LAW_tcm3-36055.pdf","Open Meeting Law"
"12,046","http://documents.boston.gov/images_documents/conflict%20of%20interest%20updated_tcm3-36056.pdf","Conflict of Interest Law: Summary for Municipal Employees"
"12,051","http://documents.boston.gov/images_documents/Standards%20of%20Conduct%20and%20Resignations%20Summaries%20for%20Municipal%20Employees_tcm3-36057.pdf","Standards of Conduct and Resignations: Summaries for Municipal Employees"
"12,061","http://www.amlegal.com/codes/client/boston_ma/","Boston: Code of City Ordinances"
"12,066","http://www.mass.gov/legis/laws/mgl/","Mass. General Laws"
"12,336","https://www.boston.gov/departments/mayors-office/how-get-recognition-mayor-walsh#greeting-letters","Greeting letters for events"
"12,341","https://www.boston.gov/departments/mayors-office/how-get-recognition-mayor-walsh#citations","Congratulatory letters"
"12,346","https://www.boston.gov/departments/mayors-office/how-get-recognition-mayor-walsh#proclamations","Proclamations from the Mayor"
"12,351","https://pilot.boston.gov/departments/mayors-office/how-get-recognition-mayor-walsh#grant-support","Support for grants"
"12,376","http://documents.boston.gov/pdfs/economicequityinclusionagenda.pdf","Mayor Walsh's Economic Inclusion and Equity Agenda"
"12,386","http://documents.boston.gov/dnd/PDFs/An%20Action%20Plan%20to%20End%20Veteran%20and%20Chronic%20Homelessness%20in%20Boston%202015-2018.pdf","Action Plan to End Veteran and Chronic Homelessness in Boston"
"12,396","http://documents.boston.gov/images_documents/2015.04.14%20Final%20Draft-UPDATED_City%20of%20Boston%20Workforce%20Profile%20Report_tcm3-50873.pdf","First-ever Workforce Report examining diversity in City government released"
"12,871","http://documents.boston.gov/images_documents/2016-2017%20Council%20Cmte-FINAL_tcm3-52839.pdf","Committee assignments"
"13,461","https://www.boston.gov/departments/city-council/who-my-boston-city-councilor","Who is my City councilor?"
"13,766","https://drive.google.com/a/boston.gov/file/d/0B5pdqTMhDgHPaVBvbUdjY2h2aU0/view","Adult waiver for those 18 and older: English"
"13,771","https://drive.google.com/file/d/0B5pdqTMhDgHPaktkaERXMjBkbU0/view?usp=sharing","Adult waiver for those 18 and older: English"
"13,776","https://drive.google.com/a/boston.gov/file/d/0B5pdqTMhDgHPZmdkZ0dZbXo0dVk/view","Waiver for youths under 18: English"
"13,781","https://drive.google.com/file/d/0B5pdqTMhDgHPQXNKM2RMUFhNbWM/view?usp=sharing","Waiver for youths under 18: Spanish"
"13,786","https://drive.google.com/file/d/0B5pdqTMhDgHPM1pDcWdCNFpMWnc/view?usp=sharing","Waiver for youths under 18: Chinese"
"13,791","https://drive.google.com/a/boston.gov/file/d/0B5pdqTMhDgHPbExQWmN6SmJRYWc/view","Template for a schedule outline"
"13,796","http://www.bostonbikes.org/urbancycling/quiz","Urban cycling quiz"
"13,806","https://www.surveymonkey.com/r/?sm=1voVUUYisVqXeexvAp9lXpHMS9GFftDnZgYsOrQMhgo%3D","Program evaluation (complete after our visit)"
"13,811","http://massbike.wpengine.netdna-cdn.com/wp-content/uploads/2009/11/kids-flyer.pdf","Bike safety poster (courtesy of MassBike"
"13,821","https://drive.google.com/a/boston.gov/file/d/0B5pdqTMhDgHPeUhwbmZQTlJ6MHc/view?usp=sharing","Biking opportunities for middle and high school students"
"13,826","https://drive.google.com/a/boston.gov/file/d/0B5pdqTMhDgHPQUM4cUVGMFFINFE/view","Biking opportunities for elementary school students"
"13,831","http://massbike.org/resourcesnew/publications/new-multilingual-publications/#parents","A parent’s guide to bike safety (courtesy of MassBike)"
"13,836","https://bikesnotbombs.org/","Bikes Not Bombs Youth Programs"
"13,841","http://bostonbicycleschool.org/","Boston Bicycling School"
"13,846","http://bostoncyclingcelebration.com/","Hub On Wheels and Mayor’s Cup"
"13,851","http://chvf.org/","Camp Harborview"
"13,856","http://www.yeskids.org/","Youth Enrichment Services"
"13,861","http://www.bostonbikes.org/programs/subsidized-hubway-memberships","Subsidized Hubway Memberships"
"14,236","https://www.thehubway.com/how-it-works","Sign up for Hubway bike sharing"
"14,271","http://documents.boston.gov/images_documents/Boston%20Bike%20Network%20Plan%2C%20Fall%202013_FINAL_tcm3-40525.pdf","Bike Network Plan"
"14,276","https://edit.boston.gov/departments/boston-bikes/urban-cycling-guide#street-markings","Learn about bike lanes"
"14,281","http://boston.maps.arcgis.com/apps/Viewer/index.html?appid=6737877fea56472e89529c1263c1d986","Map of Boston's bike parking"
"14,286","https://secure.thehubway.com/map/","Hubway station locations"
"14,386","https://pilot.boston.gov/departments/boston-bikes/urban-cycling-guide#street-markings","Learn about bike lanes"
"14,396","http://boston.maps.arcgis.com/apps/Viewer/index.html?appid=6737877fea56472e89529c1263c1d986","Map of Boston's bike parking"
"14,406","https://secure.thehubway.com/map/","Hubway station locations"
"14,526","https://pilot.boston.gov/departments/boston-bikes/urban-cycling-guide#nav820099124","Organizations"
"14,971","http://documents.boston.gov/images_documents/Danielle%20Legros%20Georges%2C%20Boston%20Poet%20Laureate_tcm3-49582.pdf","Danielle Legros Georges's bio"
"14,976","http://documents.boston.gov/images/Danielle%20Legros%20Georges%20--%20photo%20credit%20to%20Priscilla%20Harmel.jpg","Danielle Legros Georges's headshot"
